folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.01301E+11,9,13,147,1,1,0.1516,Muy bajo
9.01301E+11,9,13,112,2,2,0.1624431,Muy bajo
9.01202E+11,9,12,209,2,2,0.2257479,Muy bajo
9.01203E+11,9,12,343,5,5,0.325771,Muy bajo
9.00901E+11,9,9,124,12,12,0.3677105,Muy bajo
9.00902E+11,9,9,166,7,7,0.3969812,Muy bajo
9.00401E+11,9,4,78,4,4,0.4129027,Muy bajo
9.00904E+11,9,9,394,1,1,0.4234539,Muy bajo
9.01204E+11,9,12,353,8,8,0.4288091,Muy bajo
9.00904E+11,9,9,402,1,1,0.43062,Muy bajo
9.01204E+11,9,12,437,5,5,0.4384418,Muy bajo
9.01102E+11,9,11,152,13,13,0.4449328,Muy bajo
9.00904E+11,9,9,357,10,10,0.4502584,Muy bajo
9.01203E+11,9,12,341,2,2,0.451886,Muy bajo
9.007E+11,9,7,1,6,6,0.4533841,Muy bajo
9.00903E+11,9,9,276,27,27,0.4549809,Muy bajo
9.00801E+11,9,8,109,1,1,0.4572033,Muy bajo
9.00902E+11,9,9,230,1,1,0.4602451,Muy bajo
9.016E+11,9,16,1,7,7,0.4615015,Muy bajo
9.01101E+11,9,11,116,5,5,0.4645807,Muy bajo
9.00401E+11,9,4,71,7,7,0.4725934,Muy bajo
9.01303E+11,9,13,256,4,4,0.4744955,Muy bajo
9.01204E+11,9,12,368,3,3,0.4775594,Muy bajo
9.00901E+11,9,9,72,11,11,0.4781916,Muy bajo
9.00903E+11,9,9,302,4,4,0.4817325,Muy bajo
9.01201E+11,9,12,129,2,2,0.488256,Muy bajo
9.00904E+11,9,9,401,7,7,0.4886791,Muy bajo
9.01302E+11,9,13,247,8,8,0.4902762,Muy bajo
9.00901E+11,9,9,130,1,1,0.4912193,Muy bajo
9.01002E+11,9,10,215,3,3,0.4923942,Muy bajo
9.01204E+11,9,12,409,8,8,0.49339,Muy bajo
9.002E+11,9,2,1,1,1,0.4949488,Muy bajo
9.01002E+11,9,10,217,5,5,0.4951833,Muy bajo
9.00904E+11,9,9,384,32,32,0.4989036,Muy bajo
9.00903E+11,9,9,290,5,5,0.5107388,Muy bajo
9.00903E+11,9,9,309,2,2,0.5135759,Muy bajo
9.01202E+11,9,12,207,8,8,0.5159257,Muy bajo
